SampleID	Variety	Height
S21	Bulk_Soil	Bulk_Soil
S22	Bulk_Soil	Bulk_Soil
S23	Bulk_Soil	Bulk_Soil
S1	Chidham	Tall
S2	Chidham	Tall
S3	Chidham	Tall
S4	Chidham	Tall
S5	Chidham	Tall
S10	Gallant	Semi_dwarf
S6	Gallant	Semi_dwarf
S7	Gallant	Semi_dwarf
S8	Gallant	Semi_dwarf
S9	Gallant	Semi_dwarf
S11	Malacca	Semi_dwarf
S12	Malacca	Semi_dwarf
S13	Malacca	Semi_dwarf
S14	Malacca	Semi_dwarf
S15	Malacca	Semi_dwarf
S16	Red_Llamas	Tall
S17	Red_Llamas	Tall
S18	Red_Llamas	Tall
S19	Red_Llamas	Tall
S20	Red_Llamas	Tall
